keyword,count,Category
eukaryotes,2,Miscellaneous
root colonization,2,Morphological Traits
exopolysaccharides,2,Miscellaneous
heterosis,2,Miscellaneous
gut microbes,2,Miscellaneous
green shoot regeneration,2,Genetics & Genomics
green regenerants,2,Genetics & Genomics
grain yield efficiency,2,Yield & Productivity
grain protein content,2,Grain Quality & Nutrition
grain number,2,Miscellaneous
gobindabhog,2,Miscellaneous
glycemic load,2,Grain Quality & Nutrition
global warming potential,2,Miscellaneous
genomic selection,2,Miscellaneous
genome editing technology,2,Genetics & Genomics
genetic variation,2,Genetics & Genomics
genetic similarity,2,Genetics & Genomics
gene prospecting,2,Genetics & Genomics
gene expression,2,Genetics & Genomics
fungal sporulation,2,Miscellaneous
fodder quality traits,2,Grain Quality & Nutrition
flooding tolerance,2,Abiotic Stress
finance,2,Miscellaneous
fertilizer application,2,Nutrient Management
feed production,2,Miscellaneous
farming practices,2,Agronomy
farming community,2,Agronomy
farm income,2,Miscellaneous
crop science,2,Crop & Plant
crop protection division,2,Crop & Plant
crop improvement programme,2,Crop & Plant
crms32b,2,Miscellaneous
avt1,2,Miscellaneous
asd data,2,Miscellaneous
arorice rice value chain model,2,Crop & Plant
aromatic landraces,2,Germplasm & Genetic Resources
arc 10424,2,Miscellaneous
applied genetics,2,Genetics & Genomics
am fungi,2,Miscellaneous
alternate energy light trap,2,Genetics & Genomics
alpha amylase,2,Miscellaneous
allelic phenotypic effect,2,Miscellaneous
aicrpr trials,2,Miscellaneous
agroecological intensification,2,Miscellaneous
agro morphological trait expression,2,Miscellaneous
agricultural area,2,Miscellaneous
aging,2,Miscellaneous
aerobic rice moisture,2,Crop & Plant
aerobic condition,2,Miscellaneous
adaptive trials,2,Miscellaneous
ac85,2,Miscellaneous
ac42088,2,Miscellaneous
ac42087,2,Miscellaneous
ac1303,2,Miscellaneous
ac 9118,2,Miscellaneous
ac 9070,2,Miscellaneous
3k rgp,2,Miscellaneous
bacillus thuringiensis,2,Miscellaneous
bacteria,2,Miscellaneous
bacterium,2,Miscellaneous
coastal saline ecologies,2,Miscellaneous
crms31b,2,Miscellaneous
crms 57a,2,Miscellaneous
crms 56a,2,Miscellaneous
crms,2,Miscellaneous
cr dhan 812,2,Miscellaneous
cr dhan 322,2,Miscellaneous
cr dhan 307,2,Miscellaneous
cr dhan 108,2,Miscellaneous
consumer preferences,2,Miscellaneous
complete genome,2,Genetics & Genomics
combined stress tolerance,2,Abiotic Stress
chloroplastic transformation,2,Miscellaneous
bakanae disease resistance,2,Diseases
chlorophyll a,2,Physiology
cellulose content,2,Miscellaneous
cazymes,2,Miscellaneous
catalytic activity,2,Miscellaneous
carotenoids,2,Miscellaneous
brown plant hopper resistance,2,Crop & Plant
biotic stress management strategies,2,Abiotic Stress
biofortified variety,2,Varieties & Cultivars
biofortified rice,2,Crop & Plant
bioagents,2,Miscellaneous
bb resistant genes,2,Genetics & Genomics
heterotic hybrids,2,Varieties & Cultivars
hexagonal arrangement,2,Miscellaneous
high resistant starch,2,Grain Quality & Nutrition
non-basmati rice,2,Crop & Plant
plant type,2,Crop & Plant
plant physiology,2,Crop & Plant
plant health,2,Crop & Plant
plant genetic resources,2,Crop & Plant
photorespiratory activity,2,Miscellaneous
photorespiration,2,Miscellaneous
phosphate solubilizing bacteria,2,Miscellaneous
phenotypic variance,2,Miscellaneous
phenological traits,2,Miscellaneous
pesticide,2,Insect Pests
pest modelling,2,Insect Pests
patents,2,Miscellaneous
parental genotypes,2,Genetics & Genomics
parboiled rice grains,2,Crop & Plant
parasitoid h,2,Biocontrol
oxidative stress,2,Abiotic Stress
outreach activities,2,Miscellaneous
osmyb55,2,Miscellaneous
osmotic dehydration tolerance,2,Miscellaneous
oryzae strains,2,Miscellaneous
oryza species,2,Miscellaneous
oryza reference garden,2,Miscellaneous
odisha state,2,Geography
nutrient response,2,Miscellaneous
nsc content,2,Miscellaneous
platinum jubilee foundation day,2,Miscellaneous
polyphenol oxidase,2,Miscellaneous
population analysis,2,Miscellaneous
rice bran cake,2,Crop & Plant
rock phosphate,2,Miscellaneous
rm11508,2,Miscellaneous
ricenxpert,2,Crop & Plant
rice straw compost,2,Crop & Plant
rice seedlings,2,Crop & Plant
rice root knot nematodes,2,Crop & Plant
rice pest lab,2,Crop & Plant
rice pest,2,Crop & Plant
rice grain quality,2,Crop & Plant
rice ecology,2,Crop & Plant
rice bran oil stability,2,Crop & Plant
rice bakanae disease,2,Crop & Plant
population growth,2,Miscellaneous
registration,2,Miscellaneous
regeneration frequency,2,Genetics & Genomics
recovery efficiency,2,Miscellaneous
real time soil moisture monitoring,2,Miscellaneous
quinquennial review team,2,Miscellaneous
qtl mapping,2,Miscellaneous
pyramided lines,2,Miscellaneous
publication committee,2,Miscellaneous
pseudomonas,2,Miscellaneous
pressure parboiling,2,Food & Processing
predictive ability,2,Miscellaneous
nrri regional research station,2,Institutions
nivara accessions,2,Germplasm & Genetic Resources
high yielding potentiality,2,Yield & Productivity
nitrogen savings,2,Nutrient Management
latent heat flux,2,Abiotic Stress
large leaf area,2,Morphological Traits
kharif,2,Miscellaneous
kernel colour,2,Miscellaneous
issr markers,2,Miscellaneous
ir64,2,Miscellaneous
integrated crop production,2,Crop & Plant
insilco analysis,2,Miscellaneous
indian council of agricultural research,2,Research & Education
in vitro mutation,2,Miscellaneous
improved rice varieties,2,Crop & Plant
improved lines,2,Miscellaneous
ic435159,2,Miscellaneous
ic379843,2,Miscellaneous
ic324679,2,Miscellaneous
ic 298361,2,Miscellaneous
hyperspectral remote sensing techniques,2,Miscellaneous
hyperspectral bands,2,Miscellaneous
hyperspectral analysis,2,Miscellaneous
hybridization,2,Varieties & Cultivars
human resource development,2,Miscellaneous
higher shoot dry weight,2,Miscellaneous
higher root biomass,2,Morphological Traits
higher productivity,2,Yield & Productivity
high yielding varieties,2,Varieties & Cultivars
lc5,2,Miscellaneous
leptocorisa oratoria,2,Miscellaneous
light use efficiency,2,Miscellaneous
mobile app,2,Miscellaneous
net returns,2,Miscellaneous
nbpgr,2,Miscellaneous
natural stain,2,Miscellaneous
natural resources,2,Miscellaneous
mumy hunger,2,Miscellaneous
multiple stress tolerant lines,2,Abiotic Stress
mqtls,2,Miscellaneous
morphological traits,2,Miscellaneous
morphological indicators,2,Miscellaneous
moisture stress conditions,2,Abiotic Stress
moderate protein,2,Grain Quality & Nutrition
mitogenomes,2,Genetics & Genomics
lignin contents,2,Miscellaneous
mitochondrial genome,2,Genetics & Genomics
microbial interventions,2,Miscellaneous
metabolic pathways,2,Miscellaneous
medium slender grains,2,Miscellaneous
mechanization,2,Miscellaneous
mass rearing,2,Miscellaneous
marketing,2,Economics & Policy
marker,2,Miscellaneous
manhattan plots,2,Miscellaneous
lowland rice genotypes,2,Crop & Plant
livestock products,2,Miscellaneous
zinc uptake,2,Miscellaneous
